Detection Range,Noise,Security,Accuracy,Battery Consumption,OtherRadarsPresent
115,5,9,6,5,1
47,3,3,2,1,1
411,10,1,10,8,0
178,6,2,7,4,0
303,3,8,8,4,1
528,6,1,8,2,0
335,5,9,3,7,0
84,6,4,7,3,1
461,8,10,10,10,1
568,3,7,9,5,0
112,7,1,4,2,1
391,4,10,10,10,1
360,2,1,10,7,0
86,5,9,9,1,1
167,1,1,6,5,0
349,4,10,4,8,1
125,10,6,5,5,1
451,4,8,7,10,0
484,5,2,4,2,1
105,1,8,5,6,0
510,2,4,3,3,1
310,5,6,5,7,1
495,10,4,4,9,0
28,8,5,4,9,1
33,4,5,5,10,0
133,6,9,10,6,1
310,9,3,8,2,1
67,6,10,7,1,1
180,5,10,5,8,1
557,8,9,5,9,0
344,4,8,3,8,0
388,8,8,6,10,1
435,8,5,4,2,1
82,8,10,2,7,1
395,7,10,8,10,1
227,5,4,9,8,1
235,1,3,8,3,1
458,7,2,4,7,0
56,4,5,8,4,0
35,3,3,10,4,0
440,4,6,3,1,1
166,6,6,9,7,0
294,3,1,10,10,1
346,9,9,8,4,0
232,2,1,2,8,0
228,3,8,7,9,0
589,8,5,7,9,1
468,2,1,9,6,1
580,9,2,8,4,1
331,8,6,8,7,1
371,3,1,7,10,1
519,10,1,2,3,1
294,5,3,3,6,1
597,6,6,1,4,1
395,10,10,5,5,0
207,6,8,9,3,1
18,8,2,6,6,1
25,8,3,2,7,0
101,7,8,4,2,0
118,6,8,2,1,0
312,2,10,3,5,0
204,7,2,1,4,1
52,7,10,3,10,1
189,3,1,6,8,0
22,3,3,2,7,0
360,9,8,9,2,0
394,6,1,3,2,0
553,10,8,3,7,1
581,3,5,3,6,1
169,4,3,5,4,0
93,1,10,1,3,1
369,9,5,4,6,1
551,6,6,10,10,1
503,3,9,7,6,1
429,7,3,1,6,1
281,4,8,2,6,0
93,8,4,4,8,1
407,3,8,3,4,0
353,2,2,7,2,0
216,2,3,7,1,1
538,4,2,10,6,0
386,6,8,5,4,1
556,4,1,1,8,0
414,3,8,3,1,0
74,7,9,5,3,1
202,3,8,8,7,1
566,3,5,2,2,0
54,10,3,9,7,1
544,5,5,3,6,0
273,2,7,3,7,1
470,7,1,7,2,1
598,1,1,1,3,0
236,1,4,7,8,0
584,1,8,5,10,1
598,4,1,7,9,0
354,5,10,9,5,1
272,6,3,5,1,1
305,10,2,4,7,1
133,10,6,2,1,1
311,9,1,1,7,0
400,9,3,1,7,0
185,7,5,6,1,0
403,8,9,7,8,1
408,8,5,4,9,1
34,4,1,2,3,0
100,1,4,1,2,1
591,5,9,8,6,0
253,7,7,10,9,0
259,5,4,4,1,0
280,4,7,3,5,0
581,6,8,8,10,0
134,2,5,1,3,1
233,3,9,1,6,1
274,1,6,4,9,1
226,3,4,9,2,1
112,7,2,1,3,1
54,10,9,8,7,1
99,8,8,4,5,1
415,3,10,2,10,0
181,5,6,9,2,0
121,9,1,4,5,1
458,4,8,9,3,1
383,7,8,10,4,1
23,10,2,1,9,0
449,5,7,4,1,1
152,2,10,4,9,0
315,5,3,1,4,1
342,10,9,8,3,1
417,3,1,9,9,1
294,7,3,5,10,1
377,7,3,3,8,0
173,5,2,2,5,1
583,2,6,10,10,1
260,9,3,9,1,1
343,7,7,1,7,0
591,7,10,4,5,0
241,7,2,6,2,0
116,5,10,1,7,1
198,1,7,2,8,1
88,7,4,2,8,0
144,9,9,1,4,0
409,1,5,5,4,1
46,5,1,1,9,0
414,9,5,5,5,1
48,1,5,5,7,1
482,4,5,8,7,0
367,5,8,5,6,1
132,8,1,9,5,1
561,10,1,10,7,0
180,3,1,9,9,0
560,7,3,6,1,1
347,6,5,2,2,0
352,3,9,9,3,1
521,5,2,2,6,1
508,4,7,4,2,1
517,1,3,7,9,1
233,8,1,10,10,1
504,7,4,10,8,1
494,9,9,8,10,1
78,10,9,6,2,0
37,9,4,2,4,1
246,10,4,7,4,1
457,7,9,7,2,1
129,4,10,6,4,0
435,5,7,9,7,0
417,10,4,6,1,0
20,5,8,1,1,0
534,2,6,1,1,0
452,5,10,5,1,1
220,7,6,10,6,1
212,9,5,9,1,0
204,1,9,4,4,0
288,8,6,7,5,0
221,6,4,6,7,1
93,7,1,10,5,0
365,5,2,2,10,0
166,5,1,6,1,1
139,8,10,3,10,0
152,9,5,10,8,1
466,9,10,9,10,1
243,9,5,4,6,0
348,4,4,2,7,1
442,6,3,1,9,1
108,1,9,2,3,0
353,9,6,8,4,0
401,7,4,7,3,0
457,8,7,6,5,1
478,8,3,6,2,1
278,5,5,9,4,0
280,2,8,7,5,1
171,6,6,10,6,0
436,2,4,6,7,1
390,7,6,10,9,0
243,8,8,4,9,1
394,4,6,6,3,0
414,4,2,9,8,1
60,10,9,3,4,1
405,1,7,2,10,1
267,6,6,7,7,0
134,8,4,10,1,1
347,10,4,10,10,0
88,9,10,9,8,0
132,9,10,9,3,0
254,7,4,10,8,1
141,9,8,1,5,0
472,6,1,2,4,0
64,5,2,1,4,0
584,9,8,5,1,0
112,8,2,4,4,0
347,7,3,3,2,0
487,2,9,3,8,0
123,6,10,1,1,1
301,5,4,7,2,0
348,7,7,2,8,0
428,7,7,1,6,0
264,3,8,10,2,1
430,6,6,4,8,1
274,4,1,10,2,1
443,10,3,9,2,1
275,8,10,3,1,1
553,8,1,5,8,0
185,10,5,10,4,0
374,5,7,4,5,0
367,7,5,8,3,1
466,3,4,7,9,1
196,5,4,3,5,0
399,5,6,9,6,1
44,6,3,2,9,0
348,10,2,6,4,1
453,9,6,10,10,0
209,3,5,6,5,1
112,4,9,1,10,1
13,5,6,4,9,0
46,9,9,5,6,1
570,10,7,9,10,1
89,4,8,5,9,0
153,2,4,1,4,1
69,3,5,6,1,0
337,8,4,7,7,0
369,3,3,7,8,0
415,5,5,6,3,0
224,7,7,3,1,0
220,10,8,1,2,0
463,4,2,9,6,0
389,7,8,1,2,0
250,5,8,2,9,0
220,3,8,5,1,0
242,6,1,1,4,1
184,1,10,4,5,1
43,9,9,5,10,0
173,9,9,2,8,1
33,10,1,4,2,0
418,5,3,2,8,0
85,4,4,6,5,1
113,6,5,9,3,1
582,5,7,4,7,1
47,1,3,6,5,1
331,9,2,4,4,0
127,3,3,7,4,1
365,5,6,10,7,0
28,3,3,4,5,0
546,8,7,9,1,0
243,4,10,2,10,1
13,7,4,1,10,1
275,9,3,1,2,1
49,3,1,4,5,1
335,7,7,7,7,0
384,1,2,2,6,0
532,2,9,1,10,1
237,4,4,2,1,0
272,1,7,5,6,1
441,2,9,7,7,1
97,7,4,3,9,0
445,10,9,6,4,0
67,1,3,6,4,0
573,5,9,9,6,1
353,1,3,7,2,0
498,8,9,10,3,1
537,8,9,7,5,0
57,8,1,1,6,1
217,2,9,6,6,1
438,8,6,6,3,1
56,5,3,8,3,1
18,6,3,6,8,1
253,10,5,7,6,0
92,7,5,7,9,0
559,1,5,6,1,1
235,2,1,10,2,0
429,9,7,4,9,1
46,1,7,3,6,0
118,8,10,4,7,1
95,6,5,3,6,1
436,2,4,7,3,1
385,1,2,2,5,0
489,1,10,4,2,0
529,2,2,1,7,0
406,6,9,10,2,0
488,10,3,8,9,1
378,5,2,6,6,0
587,6,3,5,9,0
176,10,8,5,6,1
209,2,10,2,10,0
325,2,6,8,6,0
295,5,10,3,7,0
186,1,2,10,8,0
517,9,6,10,3,0
442,1,10,2,4,0
572,10,4,9,10,1
479,4,4,1,5,1
89,6,8,7,5,0
525,10,2,2,9,0
473,2,8,5,8,1
571,4,10,1,5,1
93,5,3,3,9,1
434,3,5,2,2,0
201,1,6,5,10,1
54,8,2,2,9,1
468,7,10,9,2,1
192,10,5,6,10,1
35,8,1,4,7,0
118,8,6,1,10,0
27,7,3,8,7,0
209,3,4,10,1,0
146,3,9,7,7,0
489,3,6,6,7,0
595,5,1,7,2,0
232,8,3,10,2,1
11,2,5,4,1,0
39,2,9,10,9,1
90,7,3,5,5,1
40,3,5,5,4,0
418,7,8,8,1,0
123,7,6,6,7,0
60,6,4,10,1,1
528,4,8,9,2,0
596,5,4,2,10,1
115,9,7,10,5,1
173,1,7,2,10,0
76,5,1,9,1,0
444,9,8,9,9,0
485,8,6,7,5,1
76,1,8,1,1,1
92,8,6,5,4,1
280,1,8,5,7,0
104,10,4,8,9,0
403,8,6,3,10,0
157,7,1,6,5,0
89,3,7,2,6,0
306,1,10,7,1,0
228,5,8,5,5,0
269,5,4,4,5,0
576,3,1,8,5,0
252,2,4,1,8,1
391,7,6,10,8,1
177,8,10,7,7,1
11,1,1,9,7,0
274,3,6,2,2,0
499,8,5,3,6,1
340,3,6,7,1,0
519,9,9,7,9,1
276,8,3,8,3,0
212,4,1,6,3,0
511,1,2,4,10,1
176,4,10,7,2,0
536,10,4,6,6,1
219,4,2,3,7,1
13,7,4,4,9,0
357,2,1,10,10,1
491,10,7,5,9,0
600,2,6,10,10,0
205,9,1,6,4,0
412,10,7,8,4,1
456,8,8,10,3,1
585,8,4,1,8,0
151,3,3,10,7,1
394,10,1,5,6,1
400,10,3,3,1,1
376,2,6,10,4,0
61,3,3,1,9,0
75,1,9,8,2,1
291,5,3,10,8,1
296,4,6,9,5,1
427,3,8,7,1,0
598,6,2,3,9,0
451,9,10,4,6,1
580,4,6,9,3,1
139,1,6,3,3,1
269,3,6,3,2,0
507,4,2,10,8,0
361,3,2,9,1,0
580,4,5,5,4,1
172,4,6,3,10,0
108,3,4,7,5,0
99,1,5,3,9,0
54,8,1,8,8,0
407,6,5,9,7,0
297,2,3,8,8,1
572,10,2,2,5,0
293,8,8,1,5,1
206,6,1,9,7,0
418,8,8,6,5,0
24,4,6,2,5,1
555,8,9,8,2,0
432,2,1,2,8,0
383,8,9,10,1,0
259,2,10,5,2,1
173,2,7,5,5,1
313,10,2,2,6,0
239,9,1,7,2,0
362,8,9,5,9,0
233,8,3,8,9,1
67,6,6,5,4,1
489,9,3,7,2,1
186,7,6,2,2,1
153,4,1,4,6,1
448,4,8,2,6,0
219,9,6,9,8,0
110,8,2,6,3,1
357,4,7,3,9,0
256,2,9,6,6,0
534,5,10,7,6,1
501,9,2,5,7,0
335,3,1,3,3,0
192,6,7,10,2,0
532,7,10,2,9,1
377,7,5,1,6,0
558,6,5,9,3,0
301,1,3,8,6,1
388,1,8,1,4,1
505,10,3,3,1,1
101,7,2,9,1,0
213,8,10,7,3,0
489,1,4,1,5,0
41,3,9,6,8,0
440,7,7,1,9,1
170,8,6,3,7,0
125,9,7,1,1,0
193,2,9,10,8,1
270,2,6,10,4,1
268,5,3,4,6,1
250,7,5,8,7,1
345,6,3,6,10,0
508,3,8,3,6,0
146,7,2,10,1,1
345,4,9,9,5,1
413,8,6,1,5,0
123,10,2,1,6,1
396,5,9,7,3,1
391,8,7,8,1,1
48,10,8,6,3,1
374,5,10,8,10,1
481,10,2,2,2,0
226,4,5,2,7,0
44,5,3,5,10,1
338,6,9,4,5,0
595,8,7,10,1,1
436,5,10,3,10,1
112,7,2,2,10,1
154,5,4,1,4,0
393,9,1,9,8,0
193,4,10,6,3,0
37,8,2,1,8,0
533,9,7,8,9,1
115,7,6,10,7,1
432,5,9,1,2,1
172,9,2,5,8,1
249,9,6,6,3,0
352,6,10,10,4,0
508,5,4,1,1,0
292,3,9,8,8,1
365,9,8,5,5,1
510,1,7,8,8,1
112,1,4,5,3,0
214,3,8,1,4,0
378,6,2,7,10,1
459,3,6,10,5,1
490,3,1,4,6,1
506,8,10,7,3,0
101,10,3,2,10,0
196,10,10,1,9,0
353,5,5,9,10,1
421,9,4,9,1,0
491,3,4,6,9,1
595,10,8,4,7,1
350,5,5,1,5,0
47,10,7,1,1,0
162,7,3,2,7,1
56,4,9,8,7,1
234,1,5,3,8,1
513,8,4,4,10,0
283,2,5,10,5,0
95,8,1,10,3,1
84,7,1,6,6,1
147,9,8,7,6,1
234,9,1,2,8,0
30,6,1,7,10,0
79,8,3,7,6,0
54,5,8,6,9,1
154,5,3,5,5,0
201,4,8,5,8,1
395,3,2,3,7,1
247,6,2,1,9,1
224,3,4,6,6,1
137,3,7,10,10,1
355,3,1,9,3,0
229,10,6,10,6,0
289,6,7,1,2,1
245,8,3,9,7,1
489,7,4,9,3,0
407,8,5,4,1,1
168,2,1,9,10,0
506,6,6,8,4,0
526,10,9,3,7,0
110,1,8,3,2,1
540,1,6,5,8,0
217,2,9,6,9,1
598,7,9,6,10,1
334,9,5,1,7,0
454,3,10,10,9,1
88,8,10,9,10,1
198,8,1,4,7,1
597,6,3,1,10,0
132,7,9,8,9,1
209,7,10,10,8,1
245,10,10,10,5,0
117,6,5,7,6,0
61,7,5,8,8,1
118,1,8,8,7,0
405,1,9,2,10,0
248,6,2,5,1,1
25,6,1,9,4,1
404,9,7,3,9,1
501,6,4,1,10,1
239,2,8,10,10,0
384,3,9,5,4,0
435,5,3,3,10,1
308,4,4,10,7,1
588,6,7,1,7,0
302,3,4,9,4,1
83,6,9,5,5,0
89,9,5,7,4,1
236,1,5,4,6,1
502,9,3,7,6,0
186,6,4,5,8,1
279,9,10,8,6,0
303,3,5,3,10,1
31,7,9,9,5,1
335,8,10,1,4,0
418,4,6,4,2,0
266,5,4,9,7,1
476,10,2,4,7,1
255,9,2,8,6,1
180,5,10,10,8,1
379,10,5,2,8,0
148,6,2,5,10,0
154,4,9,8,9,1
121,2,4,5,10,1
471,8,1,8,10,1
101,9,3,1,5,1
206,4,5,3,6,1
580,6,9,1,3,0
493,8,3,10,1,1
181,4,4,6,4,1
253,3,9,8,7,0
134,6,7,4,1,1
161,8,8,10,5,1
50,1,9,4,8,1
395,8,8,10,8,1
221,5,7,5,3,1
416,9,1,8,6,1
235,10,2,7,6,1
125,4,4,5,10,1
520,2,10,4,8,1
507,6,4,7,4,0
313,4,8,2,4,0
96,7,9,3,4,0
247,2,3,4,4,0
97,8,2,1,6,1
338,1,10,3,1,0
537,2,5,8,3,0
356,2,3,6,8,0
565,7,7,5,3,1
57,7,1,2,6,1
595,4,9,5,4,1
233,7,9,4,10,0
289,4,3,10,5,1
138,4,8,5,8,1
169,10,9,10,5,0
340,4,9,3,6,1
191,10,3,8,10,1
176,1,5,3,6,0
132,9,1,4,4,1
181,8,4,1,4,0
361,8,8,3,5,1
230,6,7,4,6,1
86,7,10,1,10,1
47,10,1,6,4,0
27,5,1,3,5,1
316,2,8,9,8,0
348,3,10,7,3,0
23,2,2,8,2,0
20,4,6,8,2,1
475,4,3,9,6,0
537,9,7,4,3,1
36,3,1,10,1,1
50,10,1,3,10,0
370,3,2,4,2,1
98,2,5,6,1,0
415,10,4,2,1,1
473,7,1,6,7,0
222,5,3,5,4,1
302,10,10,1,10,0
166,7,4,3,1,1
589,10,1,1,8,1
32,5,1,10,5,0
59,1,1,1,1,1
491,3,3,10,2,1
33,3,2,10,5,0
105,10,3,7,4,1
590,7,8,3,1,0
229,4,10,8,4,0
473,4,9,6,3,1
138,4,8,2,2,0
183,9,4,10,7,0
512,4,9,8,10,0
328,5,3,8,8,0
509,1,9,2,8,1
96,6,5,1,1,0
512,7,2,1,8,1
362,9,8,1,4,1
217,9,2,10,10,0
389,10,2,7,8,1
319,6,2,6,9,0
457,4,6,6,7,0
189,10,10,10,7,0
130,2,4,10,7,0
155,5,5,8,6,1
104,8,4,1,3,0
328,10,10,2,2,0
157,7,4,1,2,0
318,9,5,10,2,0
547,9,3,10,9,0
292,8,5,4,6,0
571,2,8,10,2,0
525,9,5,1,2,0
386,3,4,1,1,1
382,4,10,6,7,0
156,5,6,10,8,1
510,4,5,5,2,0
453,7,4,7,10,0
184,6,1,5,9,0
532,1,9,6,3,1
218,8,5,5,1,1
99,4,6,8,8,0
252,9,10,10,8,1
345,2,8,7,3,0
41,6,1,5,7,0
259,4,1,5,8,1
361,5,6,5,10,0
510,5,7,8,2,0
265,6,1,3,10,1
332,4,3,2,8,1
536,10,6,6,1,1
122,1,4,7,3,0
571,2,6,3,10,0
598,5,10,2,9,0
162,2,7,2,3,1
231,2,3,9,1,1
467,9,4,6,5,0
384,9,7,2,1,1
578,9,10,2,3,0
418,8,6,4,9,0
374,6,7,4,3,1
175,7,9,7,9,1
126,2,8,1,2,0
301,4,3,8,6,1
193,3,5,5,6,0
557,9,4,2,8,0
352,8,9,9,8,1
446,8,1,3,2,1
245,6,4,2,1,0
467,8,4,3,10,0
598,10,8,10,4,1
149,5,7,6,9,1
324,2,8,10,8,1
409,7,7,8,10,1
407,3,4,4,3,1
133,9,10,4,8,1
275,4,3,9,1,1
324,8,5,1,7,0
302,5,3,6,6,1
454,8,5,9,6,0
130,4,8,7,2,1
490,3,2,9,5,1
353,4,9,6,5,1
137,7,5,2,7,0
547,10,2,2,5,1
137,9,4,8,4,1
418,10,4,3,8,0
307,9,10,8,5,1
555,6,10,1,4,1
329,3,2,3,1,0
291,10,9,3,1,1
276,1,4,9,1,1
122,6,9,3,3,1
218,8,1,7,2,1
128,1,1,10,4,0
583,5,5,3,10,0
454,6,8,3,8,0
217,10,5,1,8,1
173,5,9,7,2,0
322,2,4,10,9,1
500,1,2,8,9,0
143,4,6,4,5,1
113,7,10,8,3,0
235,8,3,6,4,1
599,5,9,2,9,0
75,3,1,5,8,0
42,1,6,5,6,1
561,4,1,6,3,0
443,6,10,7,3,0
69,9,3,3,3,0
496,1,10,2,6,1
228,9,5,2,1,1
410,7,5,1,6,0
18,6,2,9,4,0
29,10,9,7,4,1
229,7,5,9,2,0
328,10,5,5,1,1
212,6,2,9,10,0
363,4,3,7,8,1
289,2,6,7,10,0
85,5,3,4,1,0
329,5,6,2,2,1
585,9,6,2,6,1
98,7,8,8,5,0
53,5,7,10,8,1
102,10,5,4,2,0
313,8,3,8,3,1
531,7,9,6,9,0
164,5,8,1,3,0
63,6,5,1,2,1
52,6,10,2,6,1
219,9,7,3,5,0
579,7,7,9,9,0
357,8,4,1,9,1
103,7,9,8,10,1
252,10,9,5,2,0
456,10,8,6,6,0
228,6,8,1,5,0
176,6,3,8,1,1
262,8,10,6,6,0
114,1,9,2,6,1
458,2,2,6,10,1
10,10,8,3,9,0
555,1,9,1,3,1
331,6,7,6,2,0
392,10,10,6,9,0
313,9,8,4,1,0
155,5,8,4,2,0
49,2,6,7,3,0
306,6,7,9,5,1
101,6,3,3,4,1
152,4,3,2,3,0
113,9,2,10,5,1
290,9,9,8,1,0
365,2,10,6,5,0
375,5,10,1,3,0
132,1,8,10,1,1
448,9,6,2,5,1
284,6,2,3,2,0
85,1,5,5,2,0
10,3,3,3,9,0
376,2,4,2,5,1
408,7,8,3,10,1
94,5,2,6,9,1
110,2,8,8,1,1
313,1,4,8,2,1
287,7,3,9,8,1
538,6,7,1,6,0
514,7,3,10,6,1
205,3,2,6,5,1
355,2,4,3,5,0
317,3,4,7,9,0
436,8,8,5,5,0
172,3,4,5,4,1
525,9,2,3,7,1
126,10,4,8,10,1
79,5,9,5,4,1
165,9,8,8,10,1
353,1,5,10,3,0
486,6,8,9,8,1
440,3,3,4,9,0
312,1,7,5,10,1
491,5,1,6,8,1
91,1,2,7,4,1
337,5,6,7,5,1
503,10,5,3,8,1
51,3,3,10,7,0
522,8,8,4,10,1
95,9,8,2,6,1
564,10,7,8,8,1
117,3,3,10,7,0
176,6,2,10,10,0
155,5,9,10,4,1
15,2,10,1,9,0
425,2,2,4,9,0
311,1,1,8,9,1
264,7,9,9,2,1
58,5,6,5,10,0
148,8,5,5,8,1
481,9,7,5,2,0
583,9,3,5,4,1
583,2,8,1,6,1
235,4,10,4,10,1
268,10,2,3,1,1
79,3,2,10,3,1
554,9,9,8,9,1
273,8,6,8,8,1
316,9,6,6,10,0
344,9,4,9,7,0
127,10,3,6,3,0
379,4,7,3,3,1
15,4,6,9,5,1
53,6,8,2,9,1
129,7,6,1,3,1
352,3,4,3,6,1
198,5,1,7,8,0
306,4,7,1,7,1
471,9,6,10,10,0
387,2,7,4,4,1
222,2,10,4,9,0
108,8,6,5,10,0
566,5,1,9,1,0
167,6,6,4,3,0
182,4,7,10,10,1
338,4,7,10,10,0
134,3,10,10,1,1
326,1,6,6,5,1
153,9,1,3,9,0
36,8,9,4,4,0
478,6,5,9,6,1
376,2,10,10,7,1
267,9,3,7,3,0
295,1,10,4,4,0
86,7,6,7,2,0
112,6,9,3,1,0
311,8,9,1,8,1
423,6,4,10,1,0
413,8,10,4,7,0
247,6,2,2,9,1
546,9,6,8,7,1
290,10,9,1,5,1
291,10,4,3,3,0
560,10,4,2,6,1
234,10,2,8,2,1
407,10,5,6,4,1
436,3,10,9,3,0
63,8,1,2,9,0
469,5,6,7,1,1
424,10,9,9,5,1
268,7,6,1,3,0
474,8,1,2,1,1
111,5,1,1,8,1
301,4,2,3,4,0
493,7,4,9,3,1
546,1,10,10,4,1
252,5,8,2,9,0
423,4,4,1,2,1
115,6,4,7,2,0
297,1,7,2,2,0
113,3,10,4,8,0
244,8,3,6,9,0
280,2,4,6,9,0
499,7,1,5,3,0
363,1,7,2,5,0
216,3,2,8,8,0
510,8,3,8,6,1
432,8,10,6,2,0
532,6,8,10,7,1
466,6,7,1,1,1
452,10,5,6,2,1
167,4,4,5,6,0
572,7,8,8,5,1
168,9,9,7,8,0
155,6,10,10,5,1
362,6,1,2,8,1
543,4,7,2,2,0
307,1,10,1,8,1
211,7,8,10,5,0
133,10,2,3,3,1
585,10,5,4,5,1
537,1,1,6,8,0
440,10,9,2,4,1
160,5,9,4,3,1
99,5,1,9,2,0
281,7,9,3,7,1
403,6,10,3,3,0
471,6,3,6,2,0
225,8,5,8,9,0
175,4,1,4,9,1
77,1,6,4,8,0
579,6,3,8,5,0
388,7,9,2,9,1
467,2,10,7,1,1
131,10,2,5,2,0
166,8,10,7,7,1
441,4,9,6,7,0
202,2,9,8,9,1
398,7,4,1,8,1
20,6,4,6,3,0
368,10,7,10,9,1
109,3,2,2,7,0
158,10,3,2,6,1
197,5,7,9,10,1
368,8,8,9,1,1
518,1,9,7,1,1
197,8,6,4,5,0
475,5,3,1,3,0
595,1,9,2,4,0
175,3,2,10,6,0
587,5,7,4,2,1
188,5,5,4,7,1
349,7,2,10,5,0
127,8,1,9,3,1
421,8,6,8,3,1
153,8,6,6,1,1
446,8,6,3,8,1
108,1,5,10,7,0
153,6,7,1,9,1
234,9,5,3,6,0
139,8,1,10,5,0
514,1,4,6,3,1
366,4,9,7,7,0
518,9,5,8,1,0
551,4,6,8,2,1
301,5,9,4,9,0
111,4,4,3,9,0
221,9,6,5,3,0
500,10,2,2,10,1
178,2,9,6,8,0
188,1,6,3,5,1
89,6,5,8,4,0
367,4,9,5,4,0
344,6,2,5,7,0
466,6,10,1,9,1
104,10,10,8,10,0
77,4,9,7,9,0
100,1,2,2,4,0
552,4,10,8,5,0
568,5,3,9,4,1
394,9,5,9,4,0
206,3,6,1,1,1
583,4,2,4,10,1
528,1,9,1,6,0
58,3,2,9,5,0
264,8,4,1,9,0
390,5,5,5,2,1
152,3,8,10,5,1
161,3,3,2,8,0
516,4,10,1,8,1
69,9,9,6,5,1
367,5,3,6,10,1
458,6,3,5,6,1
133,6,4,2,7,0
21,1,9,7,6,1
331,5,1,7,8,1
162,4,6,7,6,0
522,4,4,7,8,1
338,5,9,8,7,0
515,4,5,7,9,1
302,3,2,2,6,0
423,8,5,9,3,1
262,5,9,4,9,1
583,2,2,7,10,0
487,10,2,7,5,1
256,1,2,1,8,0
295,5,6,2,2,1
263,2,6,2,2,1
250,1,6,9,5,1
338,9,4,1,10,1
101,4,4,5,1,1
132,10,2,10,3,1
30,1,10,10,9,0
55,10,5,8,7,1
576,8,6,2,8,0
483,2,7,10,5,1
506,1,6,9,8,1
520,5,7,3,7,0
408,1,9,4,3,0
312,4,1,10,10,0
455,5,5,10,6,0
229,9,7,6,3,1
74,8,3,7,2,0
481,1,8,5,4,1
531,3,1,4,7,1
36,2,5,7,6,1
599,1,9,5,10,1
582,2,6,10,7,1
250,3,3,6,6,1
